X,Y,Id,Name,LayerID,LayerTextID,City,Street,Number,Order,Startdate,Enddate,PAE,category,Selected_Categories
-73.9847772,40.6712905,953911,Colombia in Park Slope,40,bar,New york,5th Ave,376,2,2019-07-15,None,,bar de tapes ,Restaurants
-73.9848221,40.6712732,953910,Botanica Universal,27,flor,New york,5th Ave,376,1,2019-07-15,None,,floristeria,Florist
-73.9847235,40.6713447,953913,Zuzu's Petals,27,flor,New york,5th Ave,374,2,2019-07-15,None,,floristeria,Florist
-73.9853783,40.670553,953898,KC Tasty Deli & Grill,151,rapi,New york,5th Ave,402,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9855638,40.6703781,953897,Slope Drugs Pharmacy,16,farm,New york,5th Ave,406,1,2019-07-15,None,,farmàcia i ortopèdia,Pharmacy
-73.9853273,40.6706237,953900,Clinton Beauty Spa,30,salud,New york,5th Ave,400,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9853535,40.670581,953899,Uncle Louie G,151,rapi,New york,5th Ave,402,2,2019-07-15,None,,menjar ràpid ,Fast food
-73.9852603,40.6707331,953902,Taj Mahal,2,rest,New york,5th Ave,396,1,2019-07-15,None,,restaurant,Restaurants
-73.9851822,40.6708262,953904,Coco Roco,2,rest,New york,5th Ave,392,1,2019-07-15,None,,restaurant,Restaurants
-73.9858939,40.6700082,953890,Citibank,3,banca,New york,5th Ave,424,1,2019-07-15,None,,banca i serveis financers,Banks and financial services
-73.986059,40.6697329,953889,Square Stores,8,moda,New york,5th Ave,526,1,2019-07-15,None,,roba i complements,Clothes shop
-73.9856937,40.6701971,953894,Varrio 408,151,rapi,New york,5th Ave,412,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9856215,40.6702916,953896,Rachel's Mesquite Grill,2,rest,New york,5th Ave,408,1,2019-07-15,None,,restaurant,Restaurants
-73.9863297,40.669428,953884,Chase Bank,3,banca,New york,5th Ave,444,1,2019-07-15,None,,banca i serveis financers,Banks and financial services
-73.9865953,40.6690646,953883,Dunkin' Donuts,151,rapi,New york,5th Ave,448,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9862381,40.6695356,953886,Nail on 5th,30,salud,New york,5th Ave,436,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9861187,40.6696653,953888,Fifth Avenue Diner,2,rest,New york,5th Ave,532,1,2019-07-15,None,,restaurant,Restaurants
-73.9862018,40.6695986,953887,Fifth Avenue Market & Deli,110,colma,New york,5th Ave,434,1,2019-07-15,None,,queviures,Supermarket
-73.981298,40.6754955,953949,seed,2,rest,New york,5th Ave,242,1,2019-07-15,None,,restaurant,Restaurants
-73.9814053,40.6753175,953947,al di la Trattoria,2,rest,New york,5th Ave,248,1,2019-07-15,None,,restaurant,Restaurants
-73.9811666,40.6756544,953953,QiPavilion Massage,30,salud,New york,5th Ave,234,2,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9812638,40.6755103,953950,Imperial Barbershop,4,pelu,New york,5th Ave,242,2,2019-07-15,None,,perruqueria,Hairdresser and beauty salon
-73.9811029,40.6757454,953955,Shaking Crab (Brooklyn),2,rest,New york,5th Ave,230,1,2019-07-15,None,,restaurant,Restaurants
-73.982131,40.6744844,953938,Reedchy,30,salud,New york,5th Ave,274,2,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9822094,40.6743806,953935,Naruto Ramen,151,rapi,New york,5th Ave,276,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9820693,40.6745403,953940,La Rosa Dancewear & Hosiery,8,moda,New york,5th Ave,272,2,2019-07-15,None,,roba i complements,Clothes shop
-73.9820954,40.6745154,953939,Blossom Brows,30,salud,New york,5th Ave,272,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.981746,40.6749353,953944,Buttermilk Bakeshop,33,forn,New york,5th Ave,260,1,2019-07-15,None,,forn de pa,Bakery
-73.9818164,40.6748361,953943,Radiance,30,salud,New york,5th Ave,264,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9815777,40.6751254,953946,Natural Grocery,110,colma,New york,5th Ave,252,1,2019-07-15,None,,queviures,Supermarket
-73.9816568,40.6750288,953945,Negril BK,2,rest,New york,5th Ave,256,1,2019-07-15,None,,restaurant,Restaurants
-73.9831003,40.6733037,953925,Il Sogno Secondo,2,rest,New york,5th Ave,310,1,2019-07-15,None,,restaurant,Restaurants
-73.9827416,40.6737669,953929,Natto Hibachi & Sushi,151,rapi,New york,5th Ave,296,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9828073,40.6737079,953928,Stained Glass Store,148,arte,New york,5th Ave,300,1,2019-07-15,None,,art i col·lecció,Art and Culture
-73.9823086,40.6742453,953932,Blue Ribbon,2,rest,New york,5th Ave,280,12,2019-07-15,None,,restaurant,Restaurants
-73.9823489,40.6741955,953931,Two Boots Pizza,151,rapi,New york,5th Ave,284,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9822463,40.6743226,953934,Bonnie's Grill,151,rapi,New york,5th Ave,278,2,2019-07-15,None,,menjar ràpid ,Fast food
-73.9822718,40.674283,953933,Calexico,2,rest,New york,5th Ave,278,1,2019-07-15,None,,restaurant,Restaurants
-73.9846552,40.6714777,953915,Mis Grill,2,rest,New york,5th Ave,370,1,2019-07-15,None,,restaurant,Restaurants
-73.9833033,40.673044,953920,Mon Plaisir Hair Studio,4,pelu,New york,5th Ave,322,1,2019-07-15,None,,perruqueria,Hairdresser and beauty salon
-73.9833476,40.6730061,953919,Stone Park Cafe,23,cafe,New york,5th Ave,324,1,2019-07-15,None,,cafeteria,Coffee shop
-73.9832517,40.6731396,953922,Tava,2,rest,New york,5th Ave,318,1,2019-07-15,None,,restaurant,Restaurants
-73.983158,40.6732437,953924,Russo's,151,rapi,New york,5th Ave,312,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9831873,40.6731813,953923,bird Brooklyn,8,moda,New york,5th Ave,316,1,2019-07-15,None,,roba i complements,Clothes shop
-73.9795647,40.6780471,953983,Rapunzel Rapunzel,4,pelu,New york,5th Ave,158,2,2019-07-15,None,,perruqueria,Hairdresser and beauty salon
-73.9795828,40.6780212,953982,Bhoomki,8,moda,New york,5th Ave,158,1,2019-07-15,None,,roba i complements,Clothes shop
-73.9794983,40.6781326,953985,Omni Beauty Salon,30,salud,New york,5th Ave,152,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9795338,40.6780919,953984,The VSPOT,40,bar,New york,5th Ave,156,1,2019-07-15,None,,bar de tapes ,Restaurants
-73.9792353,40.6785114,953990,Brooklyn Frameworks,148,arte,New york,5th Ave,144,1,2019-07-15,None,,art i col·lecció,Art and Culture
-73.9794123,40.6782871,953988,Wild,2,rest,New york,5th Ave,148,1,2019-07-15,None,,restaurant,Restaurants
-73.979874,40.6775465,953975,La Vellutata,43,come,New york,5th Ave,172,1,2019-07-15,None,,comestibles,Supermarket
-73.9798345,40.6776122,953977,taeg vintage store,8,moda,New york,5th Ave,170,1,2019-07-15,None,,roba i complements,Clothes shop
-73.9796961,40.6778503,953979,Park Chemists,16,farm,New york,5th Ave,164,1,2019-07-15,None,,farmàcia i ortopèdia,Pharmacy
-73.9798174,40.6776516,953978,May Taquiera,151,rapi,New york,5th Ave,168,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9796351,40.6779124,953981,Bricolage,40,bar,New york,5th Ave,162,2,2019-07-15,None,,bar de tapes ,Restaurants
-73.9796592,40.6778803,953980,Everyman Espresso,23,cafe,New york,5th Ave,162,1,2019-07-15,None,,cafeteria,Coffee shop
-73.9802517,40.677017,953967,Space Marketing Shop,10,inmo,New york,5th Ave,190,1,2019-07-15,None,,gestió immobiliària,Real state agency
-73.9801009,40.6772616,953969,Konditori,23,cafe,New york,5th Ave,186,2,2019-07-15,None,,cafeteria,Coffee shop
-73.9800566,40.6773079,953970,Blitz Facial Bar,30,salud,New york,5th Ave,184,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.979988,40.6774095,953972,mee thai,151,rapi,New york,5th Ave,180,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9807358,40.6763552,953959,Dime Community Bank,3,banca,New york,5th Ave,208,1,2019-07-15,None,,banca i serveis financers,Banks and financial services
-73.9808585,40.6761253,953958,Associated Supermarkets,110,colma,New york,5th Ave,216,1,2019-07-15,None,,queviures,Supermarket
-73.9805608,40.676591,953960,Brooklyn Industries,8,moda,New york,5th Ave,206,1,2019-07-15,None,,roba i complements,Clothes shop
-73.9804461,40.6767013,953962,Stylish Nail & Spa,30,salud,New york,5th Ave,202,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9803175,40.6769269,953965,nahm thai kitchen,2,rest,New york,5th Ave,194,2,2019-07-15,None,,restaurant,Restaurants
-73.9772867,40.6813369,954022,Alchemy,2,rest,New york,5th Ave,56,1,2019-07-15,None,,restaurant,Restaurants
-73.9771122,40.6816462,954025,Punta Cana,40,bar,New york,5th Ave,50,1,2019-07-15,None,,bar de tapes ,Restaurants
-73.9772339,40.6814474,954024,5ive Spice Tacos & Banh Mi,2,rest,New york,5th Ave,52,1,2019-07-15,None,,restaurant,Restaurants
-73.9769213,40.6819417,954030,Yayo's,40,bar,New york,5th Ave,36,1,2019-07-15,None,,bar de tapes ,Restaurants
-73.9777356,40.6806781,954014,Tabeel Aromatherapy Gifts And Salon,30,salud,New york,5th Ave,76,1,2019-07-15,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9777087,40.6807249,954013,DCHR,10,inmo,New york,5th Ave,74,1,2019-07-15,None,,gestió immobiliària,Real state agency
-73.9774951,40.6810548,954016,Convivium Osteria,2,rest,New york,5th Ave,68,1,2019-07-15,None,,restaurant,Restaurants
-73.9775253,40.6810024,954015,Eleven Consignment Boutique,8,moda,New york,5th Ave,70,1,2019-07-15,None,,roba i complements,Clothes shop
-73.9774052,40.6811941,954019,BK9,2,rest,New york,5th Ave,62,2,2019-07-15,None,,restaurant,Restaurants
-73.9773575,40.6812379,954020,Items of Interest,7,llar,New york,5th Ave,60,1,2019-07-15,None,,"llar, decoració i mobiliari",Household items
-73.9778774,40.6804897,954005,Mr Wish,151,rapi,New york,5th Ave,86,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9779183,40.6804353,954004,Pure Bistro,2,rest,New york,5th Ave,88,1,2019-07-15,None,,restaurant,Restaurants
-73.9778063,40.6805833,954008,Nacho Macho Taco,151,rapi,New york,5th Ave,80,2,2019-07-15,None,,menjar ràpid ,Fast food
-73.9778251,40.6805456,954007,City Subs,151,rapi,New york,5th Ave,82,1,2019-07-15,None,,menjar ràpid ,Fast food
-73.9777768,40.6806377,954010,Momo Ramen,2,rest,New york,5th Ave,78,2,2019-07-15,None,,restaurant,Restaurants
