osmid,relations
21638843,
6831738685,
8462014250,
6831706284,
21638845,
885308258,
885308314,
21638855,8247
1401485279,8247
4229056903,8247
6831706278,
21638859,8245 27476 27477
3643971036,8245 27476 27477
6831706254,8124
689473874,8245 27476 27477
21638861,8127 8129
6984806821,8127 8129
3643971040,8127 8129
9249495240,
21638867,8129
6984972069,8129
1636238503,8127 8129
6984972072,8129
6984972066,8128 8129
21638868,8230 8231 8232 8233 8234 8235 14073 14145 14146 14165 14166 27443
30343649,8230 8231 8232 8233 8234 8235 14145 27443
8253197813,8230 8231 8232 8233 8234 8235 8236 14073 14074 14145 14146 27443 27472
8253197816,8229 8230 8231 8232 8233 8234 8235 14073 14145 14146 14165 27443
30343654,8229 8230 8231 8232 8233 8234 8235 14073 14074 14075 14145 14146 14165 14166 27443
21638869,8232 8233 14073 14074 14075 14076 14077 14078 14079 14145 14146 14164 14165 14166 14167 14168 14170 27429 27443
30343672,14052 14073 14074 14075 14076 14077 14078 14079 14080 14145 14146 14164 14165 14166 14167 14168 14169 14170 27429 27443 27444
242318729,8229 8230 8231 8232 8233 8234 14073 14074 14075 14076 14077 14145 14146 14164 14165 14166 14168 27443
6984972029,8232 8233 14073 14074 14075 14076 14077 14078 14079 14145 14146 14164 14165 14166 14167 14168 14170 27429 27443
6984972026,8233 8234 14073 14074 14075 14076 14077 14078 14079 14080 14145 14146 14165 14166 14167 14168 14170 27443
21638877,8225 8226
7159121700,8224 8225 8226 8227 8228
6984927533,
6984927536,8224 8225 8226
6984927539,8225 8226
21638878,7999 8224 8225 8226 8227 8228 8229 11470 14123 14143 14144 14161 14162 14163 14164 27429
4433359262,7999 8162 8223 8224 8225 8226 8227 8228 11470 14123 14143 14144 14161 14162 14163 14164 27429
6984927548,7999 8224 8225 8226 8227 8228 8229 11470 14123 14143 14144 14161 14162 14163 14164 14165 14166 27429
7159121709,7999 8224 8225 8226 8227 8228 8229 11470 11471 14123 14143 14144 14161 14162 14163 14164 27429
7159121706,7999 8224 8225 8226 8227 8228 8229 11470 14123 14143 14144 14161 14162 14163 14164 27429
21638882,
7159098030,
7159194692,
8984401689,
8984401691,
21638884,
683286015,
7340701542,
3749428001,
21638886,
5006930486,
6984806805,
8253214823,
21638889,
3107096656,
21638890,
7254139889,
8253147513,
7254139891,
21638891,
190983324,
8253147438,
242284801,
7254139899,
21638916,
1401278789,
21638917,
190981834,
1401278778,
21638919,
21638920,
8196813408,
8196259197,
21638921,
